"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Source","EID"
"Patnaik B.; Kumar Nayak D.S.; Kumar Sahoo S.","Patnaik, Bipasha (57219607854); Kumar Nayak, Debasish Swapnesh (57223673014); Kumar Sahoo, Santanu (54416309800)","57219607854; 57223673014; 54416309800","HFai: Deep Networks for Detecting Heart Failure Progression","2024","3rd International Conference on Communication, Control, and Intelligent Systems, CCIS 2024","","","","","","0","10.1109/CCIS63231.2024.10931896","https://www.scopus.com/pages/publications/105002275175?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105002275175"
"Ramya R.S.; Narayankar K.; Kumudavalli M.V.; Aruna Devi C.; Rajeshwari J.; Babu R.","Ramya, R.S. (57214386771); Narayankar, Karuna (60135552600); Kumudavalli, M.V. (57202209957); Aruna Devi, C. (59959114300); Rajeshwari, J. (56538603000); Babu, Ramesh (36613817700)","57214386771; 60135552600; 57202209957; 59959114300; 56538603000; 36613817700","Heart Disease Prediction: Integrating Machine Learning and Digital Twin Framework","2025","Proceedings of 5th International Conference on Soft Computing for Security Applications, ICSCSA 2025","","","","1897","1902","1","10.1109/ICSCSA66339.2025.11170827","https://www.scopus.com/pages/publications/105018464551?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105018464551"
"Tale A.; Barhate A.; Rewatkar R.; Gourshettiwar P.; Jikar N.; Shejole V.","Tale, Abhay (59470998900); Barhate, Aditya (58696132100); Rewatkar, Rajendra (55806783800); Gourshettiwar, Palash (58999871900); Jikar, Nayan (59471130500); Shejole, Vivek (60402470500)","59470998900; 58696132100; 55806783800; 58999871900; 59471130500; 60402470500","A Review of Machine Learning and Deep Learning Techniques for Heart Disease Prediction","2025","Proceedings of 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things, ICoICI 2025","","","","2141","2146","0","10.1109/ICoICI65217.2025.11253993","https://www.scopus.com/pages/publications/105030319305?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105030319305"
"Inan O.T.; Berkebile J.A.; Cook J.M.; Sanchez-Perez J.A.; Crane H.T.; Ganti V.G.","Inan, Omer T. (15753969900); Berkebile, John A. (57355998700); Cook, Jacob M. (60099057400); Sanchez-Perez, Jesus Antonio (57355855100); Crane, H. Trask (58017261500); Ganti, Venu G. (57200503771)","15753969900; 57355998700; 60099057400; 57355855100; 58017261500; 57200503771","Multi-Modal Cardiopulmonary Sensing at the Chest Leveraging Hemodynamics and Cardiac Timings","2025","2025 IEEE International Workshop on Metrology for Industry 4.0 and IoT, MetroInd4.0 and IoT 2025 - Proceedings","","","","277","281","0","10.1109/MetroInd4.0IoT66048.2025.11121946","https://www.scopus.com/pages/publications/105015964497?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105015964497"
"Figueroa-Gil L.E.; López-Cons I.V.; Orjuela-Cañón A.D.","Figueroa-Gil, Lennin Eduardo (59527682200); López-Cons, Ivana Valeria (59527892700); Orjuela-Cañón, Alvaro David (55320341500)","59527682200; 59527892700; 55320341500","Machine Learning Techniques for Classifying Cardiac Arrhythmias","2025","IFMBE Proceedings","116 IFMBE","","","27","39","1","10.1007/978-3-031-82123-3_3","https://www.scopus.com/pages/publications/85216016577?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85216016577"
"Toth S.; Barbierik Vachalcova M.; Barbierik K.; Jarolimkova A.; Fulop P.; Dvoroznakova M.; Pella D.; Poruban T.","Toth, Stefan (7101712853); Barbierik Vachalcova, Marianna (55855109100); Barbierik, Kamil (57611370000); Jarolimkova, Adriana (59896904900); Fulop, Pavol (57226435538); Dvoroznakova, Mariana (56196153200); Pella, Dominik (6603621698); Poruban, Tibor (57222246485)","7101712853; 55855109100; 57611370000; 59896904900; 57226435538; 56196153200; 6603621698; 57222246485","Application of Telemedicine and Artificial Intelligence in Outpatient Cardiology Care: TeleAI-CVD Study (Design)","2026","Diagnostics","16","1","145","","","0","10.3390/diagnostics16010145","https://www.scopus.com/pages/publications/105027926215?origin=resultslist","Article","Final","Scopus","2-s2.0-105027926215"
"Safa M.; Pandian A.; Chakrapani K.; Subramanian K.S.; Kempanna M.; Arun D.; UmaMaheswari K.M.","Safa, M. (57200152093); Pandian, A. (57224737974); Chakrapani, K. (36677031200); Subramanian, Karpaga Selvi (59654676800); Kempanna, M. (57757571400); Arun, D. (58093348100); UmaMaheswari, K.M. (57215845190)","57200152093; 57224737974; 36677031200; 59654676800; 57757571400; 58093348100; 57215845190","Cardiovascular disease prediction using hybridisation multi perception classifier in secure IoT platform","2025","International Journal of System of Systems Engineering","15","1","","1","14","0","10.1504/IJSSE.2025.144566","https://www.scopus.com/pages/publications/85218895057?origin=resultslist","Article","Final","Scopus","2-s2.0-85218895057"
"Lee Y.; Noh Y.; Walkey A.; Chon K.H.","Lee, Yongbin (58498766500); Noh, Yeonsik (23390492600); Walkey, Allan (14016836200); Chon, Ki H (7006498204)","58498766500; 23390492600; 14016836200; 7006498204","A two-stage deep learning framework for predicting the onset of Atrial fibrillation using RR interval-based embeddings","2026","Biocybernetics and Biomedical Engineering","46","1","","176","187","0","10.1016/j.bbe.2026.01.004","https://www.scopus.com/pages/publications/105028968962?origin=resultslist","Article","Final","Scopus","2-s2.0-105028968962"
"Yan R.; Cheng D.; Xiao R.; Fedorov A.; Lee R.J.; Nahab F.B.; Hu X.","Yan, Runze (59823091300); Cheng, Ding (57212668548); Xiao, Ran (57196439389); Fedorov, Aleksandr (57196021921); Lee, Randall J. (7408201639); Nahab, Fadi B. (23467107900); Hu, Xiao (55603985300)","59823091300; 57212668548; 57196439389; 57196021921; 7408201639; 23467107900; 55603985300","SQUWA: Signal Quality Aware DNN Architecture for Enhanced Accuracy in Atrial Fibrillation Detection from Noisy PPG Signals","2024","Proceedings of Machine Learning Research","248","","","105","119","1","","https://www.scopus.com/pages/publications/85203817112?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85203817112"
"Singhvi V.; Parmar A.","Singhvi, Vivek (60193574800); Parmar, Aakash (57215903576)","60193574800; 57215903576","Early Detection of Cardiac Abnormalities Using ECG: Trends and Techniques","2025","2025 International Conference on Artificial Intelligence and Machine Vision, AIMV 2025","","","","","","0","10.1109/AIMV66517.2025.11203765","https://www.scopus.com/pages/publications/105021827286?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105021827286"
"Saleh H.; McCann M.; El-Sappagh S.; Breslin J.G.","Saleh, Hager (57218799328); McCann, Michael (57198244758); El-Sappagh, Shaker (60431764900); Breslin, John G. (7004753954)","57218799328; 57198244758; 60431764900; 7004753954","TransformerFusionNet: A Real-Time Multimodal Framework for ICU Heart Failure Mortality Prediction Using Big Data Streaming","2024","2024 International Conference on Computer and Applications, ICCA 2024","","","","","","1","10.1109/ICCA62237.2024.10927742","https://www.scopus.com/pages/publications/105002221248?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105002221248"
"Gowri P Y.S.; Divya V.; Saravanan S.","Gowri P, Yasashwini Sai (60422674200); Divya, V. (59692422000); Saravanan, S. (57195644470)","60422674200; 59692422000; 57195644470","Continuous and Accurate Heart Attack Risk Assessment via a Real-Time Data Pipeline with Data Fusion and Spark-based Machine Learning","2025","Proceedings of the 7th International Conference on Innovative Data Communication Technologies and Application, ICIDCA 2025","","","","844","849","0","10.1109/ICIDCA66325.2025.11280335","https://www.scopus.com/pages/publications/105031440722?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105031440722"
"Babaei A.F.; Tanha J.; Balafar M.A.; Roshan S.","Babaei, Alireza Fakhim (58795730300); Tanha, Jafar (24476811800); Balafar, Mohammad Ali (25227623000); Roshan, Seyedehsan (57211603197)","58795730300; 24476811800; 25227623000; 57211603197","A Novel Multimodal Deep Learning Approach With Loss Function for Detection of Sleep Apnea Events","2025","IEEE Access","13","","","52085","52099","4","10.1109/ACCESS.2025.3552254","https://www.scopus.com/pages/publications/105001640253?origin=resultslist","Article","Final","Scopus","2-s2.0-105001640253"
"Deivanayagi S.; Giridharan D.; Alvin Kennedy S.; Dharshan R.E.","Deivanayagi, S. (57211000011); Giridharan, D. (59961401300); Alvin Kennedy, S. (59961049700); Dharshan, R.E. (59961516000)","57211000011; 59961401300; 59961049700; 59961516000","Portable ECG Device Detecting Abnormalities Using Deep Learning","2025","2025 International Conference on Computing and Communication Technologies, ICCCT 2025","","","","","","0","10.1109/ICCCT63501.2025.11020377","https://www.scopus.com/pages/publications/105008951413?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105008951413"
"Mogi M.; Tanaka A.; Node K.; Tomitani N.; Hoshide S.; Narita K.; Nozato Y.; Katsurada K.; Maruhashi T.; Higashi Y.; Matsumoto C.; Bokuda K.; Yoshida Y.; Shibata H.; Toba A.; Masuda T.; Nagata D.; Nagai M.; Shinohara K.; Kitada K.; Kuwabara M.; Kodama T.; Kario K.","Mogi, Masaki (8871989300); Tanaka, Atsushi (56712239000); Node, Koichi (7006002324); Tomitani, Naoko (57189644362); Hoshide, Satoshi (6603859769); Narita, Keisuke (57204602787); Nozato, Yoichi (57199545575); Katsurada, Kenichi (36491944300); Maruhashi, Tatsuya (15070933100); Higashi, Yukihito (7202858910); Matsumoto, Chisa (24279773500); Bokuda, Kanako (35762076600); Yoshida, Yuichi (57189592416); Shibata, Hirotaka (35414938300); Toba, Ayumi (36960489700); Masuda, Takahiro (36896502400); Nagata, Daisuke (20935586300); Nagai, Michiaki (23498874000); Shinohara, Keisuke (55250127200); Kitada, Kento (57194264412); Kuwabara, Masanari (54404956500); Kodama, Takahide (24463415500); Kario, Kazuomi (7102633390)","8871989300; 56712239000; 7006002324; 57189644362; 6603859769; 57204602787; 57199545575; 36491944300; 15070933100; 7202858910; 24279773500; 35762076600; 57189592416; 35414938300; 36960489700; 36896502400; 20935586300; 23498874000; 55250127200; 57194264412; 54404956500; 24463415500; 7102633390","2023 update and perspectives","2024","Hypertension Research","47","1","","6","32","7","10.1038/s41440-023-01398-5","https://www.scopus.com/pages/publications/85171296406?origin=resultslist","Review","Final","Scopus","2-s2.0-85171296406"
"An M.; Jiang J.","An, Manli (59695927500); Jiang, Jingjing (59696571900)","59695927500; 59696571900","Comprehensive evaluation of flumazenil adverse reactions: Insights from FAERS data and signal detection algorithms","2025","Medicine (United States)","104","10","","e41721","","4","10.1097/MD.0000000000041721","https://www.scopus.com/pages/publications/105000237415?origin=resultslist","Article","Final","Scopus","2-s2.0-105000237415"
"Vallée A.","Vallée, Alexandre (57190137492)","57190137492","Digital twins for cardiovascular diseases: towards personalised and sustainable care","2025","Acta Cardiologica","80","9","","1055","1062","5","10.1080/00015385.2025.2569027","https://www.scopus.com/pages/publications/105018785023?origin=resultslist","Note","Final","Scopus","2-s2.0-105018785023"
"Sundara Krishnan K.; Michael Priya E.","Sundara Krishnan, K. (57219052888); Michael Priya, E. (60510036000)","57219052888; 60510036000","A Double-Level Risk-Based Personalized Heart Disease Detection Model for Smart Health Environment Using IoT and Deep Learning","2026","International Journal of Software Engineering and Knowledge Engineering","36","7","","1003","1037","0","10.1142/S0218194025501001","https://www.scopus.com/pages/publications/105026804366?origin=resultslist","Article","Final","Scopus","2-s2.0-105026804366"
"Vela V.; Sonay A.Y.; Limani P.; Graf L.; Sabani B.; Gjermeni D.; Rroku A.; Zela A.; Gorica E.; Rodriguez Cetina Biefer H.; Berdica U.; Hasanaj E.; Trnjanin A.; Muka T.; Dzemali O.","Vela, Visar (57215027781); Sonay, Ali Yasin (46861307400); Limani, Perparim (37108290100); Graf, Lukas (60190797800); Sabani, Besmira (57206846113); Gjermeni, Diona (57231862800); Rroku, Andi (57206466615); Zela, Arber (57215779540); Gorica, Era (57215771139); Rodriguez Cetina Biefer, Hector (35232416600); Berdica, Uljad (57313779000); Hasanaj, Euxhen (57223257129); Trnjanin, Adisa (60191461800); Muka, Taulant (56453399500); Dzemali, Omer (6602267483)","57215027781; 46861307400; 37108290100; 60190797800; 57206846113; 57231862800; 57206466615; 57215779540; 57215771139; 35232416600; 57313779000; 57223257129; 60191461800; 56453399500; 6602267483","Toward Artificial Intelligence in Oncology and Cardiology: A Narrative Review of Systems, Challenges, and Opportunities","2025","Journal of Clinical Medicine","14","21","7555","","","1","10.3390/jcm14217555","https://www.scopus.com/pages/publications/105021507553?origin=resultslist","Note","Final","Scopus","2-s2.0-105021507553"
"Khalpey Z.; Sucher J.F.","Khalpey, Zain (16506630200); Sucher, Joseph F. (6506704869)","16506630200; 6506704869","AI in the Trauma Bay","2026","Hot Topics in Acute Care Surgery and Trauma","Part F1370","","","107","120","0","10.1007/978-3-032-09357-8_9","https://www.scopus.com/pages/publications/105028533643?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105028533643"
"Hadar P.N.; Westmeijer M.; Sun H.; Meulenbrugge E.-J.; Jing J.; Paixao L.; Tesh R.A.; Da Silva Cardoso M.; Arnal P.; Au R.; Shin C.; Kim S.; Thomas R.J.; Cash S.S.; Westover M.B.","Hadar, Peter N. (56925297900); Westmeijer, Mike (57219632137); Sun, Haoqi (57201066109); Meulenbrugge, Erik-Jan (59466274200); Jing, Jin (59466274300); Paixao, Luis (37112865800); Tesh, Ryan A. (57218187387); Da Silva Cardoso, Madalena (57222421937); Arnal, Pierrick (55330448800); Au, Rhoda (7004117684); Shin, Chol (7202571570); Kim, Soriul (56156459000); Thomas, Robert J. (56752139000); Cash, Sydney S. (7004567776); Westover, M. Brandon (6602591667)","56925297900; 57219632137; 57201066109; 59466274200; 59466274300; 37112865800; 57218187387; 57222421937; 55330448800; 7004117684; 7202571570; 56156459000; 56752139000; 7004567776; 6602591667","Epilepsy is associated with the accelerated aging of brain activity in sleep","2024","Frontiers in Physiology","15","","1458592","","","6","10.3389/fphys.2024.1458592","https://www.scopus.com/pages/publications/85211606806?origin=resultslist","Article","Final","Scopus","2-s2.0-85211606806"
"El-Sofany H.; Bouallegue B.; El-Latif Y.M.A.","El-Sofany, Hosam (26025857300); Bouallegue, Belgacem (6507705996); El-Latif, Yasser M. Abd (57224455473)","26025857300; 6507705996; 57224455473","A proposed technique for predicting heart disease using machine learning algorithms and an explainable AI method","2024","Scientific Reports","14","1","23277","","","79","10.1038/s41598-024-74656-2","https://www.scopus.com/pages/publications/85205808528?origin=resultslist","Article","Final","Scopus","2-s2.0-85205808528"
"Akash G.; Jeevan Sankar S.; Harish M.e S.S.","Akash, G. (59442686700); Jeevan Sankar, S. (60112440700); Harish M.e, S.S. (59940691800)","59442686700; 60112440700; 59940691800","Blood Vessel Blockage Detection using Phonocardiogram","2025","Proceedings of 8th International Conference on Computing Methodologies and Communication, ICCMC 2025","","","","1894","1900","0","10.1109/ICCMC65190.2025.11140620","https://www.scopus.com/pages/publications/105016904401?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105016904401"
"Liu Y.; Wang B.","Liu, Yu (59670517100); Wang, Boyuan (57204606868)","59670517100; 57204606868","Advanced applications in chronic disease monitoring using IoT mobile sensing device data, machine learning algorithms and frame theory: a systematic review","2025","Frontiers in Public Health","13","","1510456","","","20","10.3389/fpubh.2025.1510456","https://www.scopus.com/pages/publications/86000091837?origin=resultslist","Review","Final","Scopus","2-s2.0-86000091837"
"Vuk T.; Politis C.; Garraud O.","Vuk, Tomislav (15133002300); Politis, Constantina (55919300500); Garraud, Olivier (34770747900)","15133002300; 55919300500; 34770747900","Donor vigilance – Current situation and future directions","2025","Transfusion Clinique et Biologique","32","2","","131","133","4","10.1016/j.tracli.2025.03.001","https://www.scopus.com/pages/publications/105000982716?origin=resultslist","Editorial","Final","Scopus","2-s2.0-105000982716"
